hr,cnt,prediction
5,1.9459101490553132,2.737444334404846
4,1.6094379124341003,3.572448505414916
19,6.610696044717759,6.302300007025406
11,5.337538079701318,5.708541379952307
21,5.808142489980444,6.235050370434978
18,5.231108616854587,5.690531250279647
17,4.820281565605037,5.382384254514716
17,6.829793737512425,6.253615926676521
10,5.356586274672012,6.090139445963816
19,5.081404364984463,5.497922152406196
11,5.53338948872752,6.1266687538427265
15,5.332718793265369,5.837888343067379
1,4.1588830833596715,5.2040781739542155
18,5.5909869805108565,5.9941159702284414
22,4.736198448394496,5.219309833912992
14,6.2166061010848646,6.286937704693472
17,6.173786103901937,6.246626824945302
11,6.3818160174060985,6.7399366319303
9,5.616771097666572,5.899295953675075
12,5.648974238161206,5.924331079153201
6,1.6094379124341003,1.6458120990673408
21,5.726847747587197,6.232715055246625
2,1.3862943611198906,2.7408661250737163
4,1.791759469228055,3.1755517438412184
16,6.066108090103747,6.18275196263644
22,3.4965075614664802,4.510565817288239
18,6.22455842927536,6.550437136097743
13,5.58724865840025,5.915862519358189
13,5.493061443340548,5.868750063776546
10,5.0369526024136295,6.796181621645987
6,3.332204510175204,4.89362785788118
22,4.1588830833596715,4.859781014314798
1,3.044522437723423,4.087570944388921
15,4.983606621708336,5.880320076800853
9,4.605170185988092,5.164301437002211
7,5.953243334287785,6.5929678149376185
8,5.958424693029782,6.030836629318922
5,3.332204510175204,3.5239226409145896
8,6.218600119691729,5.949014517049511
7,6.042632833682381,5.464499070419833
17,5.214935757608986,5.557529642547167
19,5.717027701406222,6.18954796366553
12,5.703782474656201,5.969132953573073
0,3.6109179126442243,4.271432815067049
2,2.1972245773362196,3.863212026715762
4,1.9459101490553132,3.196112440556533
2,2.1972245773362196,3.000264124061859
0,4.143134726391533,4.701801498031821
10,5.111987788356544,6.321329317189289
10,3.5263605246161616,4.362288975436303
2,2.833213344056216,4.733316522849618
11,4.90527477843843,5.624902978625341
13,5.3612921657094255,5.786620007670636
3,3.4657359027997265,3.918483596593584
9,5.1298987149230735,5.587717273803761
17,5.318119993844216,5.915639565799525
2,0.0,1.4527185159025136
20,5.68697535633982,6.162934588816542
23,3.970291913552122,5.11890634440082
5,2.9444389791664403,4.201100670935593
7,3.713572066704308,5.932256910585709
2,2.8903717578961645,3.6442344628354038
11,4.867534450455582,5.4161242919392185
23,4.77912349311153,5.2961587858690296
0,4.330733340286331,5.130291857843803
23,2.833213344056216,4.596212011523727
2,1.0986122886681098,3.3338923990886364
14,6.095824562432225,6.296209048433206
1,3.912023005428146,4.248297528459667
6,2.70805020110221,3.6008054104414446
5,3.1780538303479458,3.9246459840738703
5,3.1780538303479458,3.6364135343733106
20,6.008813185442595,6.402357120878727
20,4.574710978503383,5.183780734799563
10,4.882801922586371,6.120932231367473
2,4.248495242049359,5.120375090338538
22,5.14166355650266,5.268722999898101
9,5.641907070938114,6.0836009238461335
4,2.5649493574615367,4.206716621200153
15,4.31748811353631,5.014610568098818
15,5.488937726156687,6.013627254193124
18,4.969813299576001,5.414178387051415
21,5.327876168789581,5.650816716063362
8,4.276666119016055,4.930544084307393
14,5.429345628954441,5.846377938795966
6,3.58351893845611,4.003449971305641
14,5.58724865840025,6.03538127870342
14,6.194405391104672,6.48172522515462
19,5.926926025970411,6.268740713939414
5,2.4849066497880004,4.208877756770828
14,5.529429087511423,6.0991621852470805
10,5.84354441703136,6.030695490884934
15,4.7535901911063645,5.675766938737012
16,4.127134385045092,4.96037369280579
2,2.995732273553991,3.9103160424053147
11,6.226536669287466,6.540323741142241
0,4.7535901911063645,5.0814462887767915
15,5.0369526024136295,5.523502425547913
11,4.143134726391533,5.076448993781581
23,4.59511985013459,5.247621641960765
2,2.0794415416798357,3.086403935260403
13,5.652489180268651,6.018683718821779
21,4.919980925828125,5.472909713819935
11,5.420534999272286,5.934518823246944
23,4.727387818712341,5.2890006310434545
21,5.081404364984463,5.495489905540816
17,5.638354669333745,5.774714212623268
16,5.176149732573829,5.52634561845791
14,5.342334251964811,5.8696007603686
6,2.772588722239781,3.8370986720870297
2,4.204692619390966,4.693918988231966
9,5.170483995038151,5.999726844446088
15,6.150602768446279,6.511752682337369
4,1.0986122886681098,3.6043300128219826
3,1.0986122886681098,3.244907841188208
5,1.6094379124341003,2.067737528665918
9,4.394449154672439,5.413057908425043
8,5.752572638825633,5.628434678547809
1,3.2188758248682006,3.8914279224376878
18,5.945420608606575,6.262039122128241
4,1.3862943611198906,3.720823556611931
19,5.673323267171493,6.106265282197647
23,4.3694478524670215,5.075145499124225
7,2.0794415416798357,1.9185264240726727
5,3.6888794541139363,4.106627162968222
11,4.852030263919617,5.617389037177446
10,5.594711379601839,5.825931087230221
5,3.367295829986474,3.9485351897826564
8,6.008813185442595,6.30925494471658
6,3.4339872044851463,4.218091965393306
22,4.948759890378168,5.339042738894187
10,5.14166355650266,5.9637777973700254
9,5.407171771460119,5.89376096428603
8,6.694562058521095,6.613205255259516
7,6.267200548541362,6.548671213361229
18,6.754604099487962,7.048832223481628
22,4.465908118654584,5.159676110030263
19,5.976350909297934,5.851485397829731
16,4.68213122712422,5.6463152757233175
4,2.8903717578961645,3.6684392118986646
22,3.5263605246161616,4.564284285083167
12,6.6293632534374485,6.843299002805259
14,4.948759890378168,5.5163344608181015
16,5.552959584921617,5.754697000067128
2,2.772588722239781,2.6861119725643614
10,6.091309882077698,6.277712057529659
9,5.605802066295998,6.242958877600004
5,2.0794415416798357,4.333195198102719
21,4.584967478670572,5.007812801222287
2,2.772588722239781,3.743326001919883
20,4.653960350157523,5.406592191936667
16,3.58351893845611,4.854872615859256
15,5.187385805840755,6.14847795313757
18,6.385194398997726,6.583074375553945
1,4.343805421853684,4.947524537444545
8,4.454347296253507,5.460096373863997
6,3.4011973816621555,3.5585198927608657
0,2.70805020110221,3.77117578741076
23,4.110873864173311,5.231092711501566
11,4.3694478524670215,5.522133399175565
20,3.258096538021482,4.145316920734371
20,5.568344503761097,6.238876739953744
18,6.238324625039508,6.662228606212008
15,5.940171252720432,6.194245606886025
6,4.48863636973214,5.595779800472586
7,5.627621113690637,6.499979697859838
12,5.262690188904886,5.428502348953706
21,5.700443573390687,6.165742478253092
11,5.817111159963204,6.058814396262176
22,5.049856007249537,5.66325287884417
1,3.9889840465642745,4.870860928952516
15,4.499809670330265,5.383723948954497
11,5.332718793265369,5.712807098712964
12,5.0238805208462765,5.350831873966048
19,4.624972813284271,5.162578537766204
11,4.1588830833596715,5.028967889087075
1,3.9889840465642745,6.518108730773076
23,5.393627546352362,5.493116383529676
12,5.638354669333745,5.917064692456773
9,5.564520407322694,6.173445997844746
23,3.6635616461296463,5.018576387277402
9,5.929589143389895,6.54948407537817
12,5.703782474656201,5.629092580969389
14,4.820281565605037,5.680155299969197
18,5.488937726156687,5.78607337363798
1,0.6931471805599453,1.858194625971432
1,2.5649493574615367,6.897576990756995
11,4.276666119016055,4.526441937092258
8,6.148468295917647,7.457701362433068
23,5.14166355650266,5.107135092828251
6,2.8903717578961645,3.455329509236295
23,3.1780538303479458,4.7873209089820925
1,4.1588830833596715,6.599078759640538
8,6.253828811575473,6.046185384832572
13,5.869296913133774,6.459095969374406
18,5.69035945432406,6.191504168161302
14,4.543294782270004,5.284132340750795
13,5.66988092298052,6.090516187031182
8,4.477336814478207,4.841158156402823
9,5.332718793265369,7.00636123941076
20,5.814130531825066,6.11023160661506
22,4.0943445622221,5.312084356390216
6,4.955827057601261,5.882261659948043
4,1.0986122886681098,3.622192043452015
18,5.666426688112432,6.120935020835952
19,5.823045895483019,6.322619388651271
22,3.58351893845611,4.2325213897281095
22,4.736198448394496,5.066599887714097
7,5.831882477283517,28.997491112201875
5,2.5649493574615367,3.792215079158538
4,1.0986122886681098,3.0082409809717388
5,3.4339872044851463,3.734322536879859
21,4.477336814478207,5.280881851684632
5,3.7376696182833684,3.548290380841059
22,4.6443908991413725,5.249330994275221
9,5.746203190540153,6.335823905118074
5,1.0986122886681098,1.7250652064048602
20,5.955837369464831,6.301682384715412
17,6.732210706467206,6.606995204714589
21,5.209486152841421,5.656688326773302
15,4.276666119016055,5.199771799799333
16,5.8888779583328805,6.470535654431083
4,1.9459101490553132,4.319988380724548
4,1.9459101490553132,3.6452104653417114
7,5.8805329864007,7.556544034190612
17,6.428105272684596,6.57509482219224
12,2.302585092994046,3.771543743909213
7,4.330733340286331,5.207462097678887
9,5.8289456176102075,6.713075861636022
0,4.564348191467836,6.129535295520827
8,5.988961416889864,6.043343304471133
1,3.9318256327243257,5.259343988796868
9,5.717027701406222,6.367607513839685
16,5.480638923341991,6.261188061801489
12,5.44673737166631,5.689932762074909
15,5.929589143389895,6.309702312151902
21,5.4116460518550396,5.754680569315132
7,4.1588830833596715,4.379953586632241
21,3.6375861597263857,5.036746065243933
14,6.295266001439646,6.589741842470094
1,2.995732273553991,3.979144479615248
10,5.2574953720277815,5.816408265068922
0,4.820281565605037,5.30122493608305
13,4.430816798843313,5.084937170957304
22,3.828641396489095,5.01413584646221
20,5.940171252720432,6.19383377663159
16,6.259581464064923,6.720617606371631
17,5.726847747587197,5.938999003812259
2,1.791759469228055,2.5864695790552474
11,4.897839799950911,5.668930787068421
16,4.477336814478207,5.557510121964964
3,0.6931471805599453,2.829365518789593
18,6.565264970035361,6.794784853628664
6,2.995732273553991,4.355866721388825
16,5.8805329864007,6.269104811540457
17,5.564520407322694,5.848282358477557
15,5.517452896464707,5.9146127354024784
10,3.970291913552122,5.02252916563161
